system,method,tau_ps,n_commit,n,p_commit,median_ttc,median_occupancy,median_occ_committed
CLN025,Random,20.0,0,3,0.0,,0.005394761686402503,
CLN025,Random,40.0,0,3,0.0,,0.005394761686402503,
CLN025,Random,60.0,0,3,0.0,,0.005394761686402503,
CLN025,Random,80.0,0,3,0.0,,0.005394761686402503,
CLN025,LAST,20.0,3,3,1.0,46.366,1.6561918377255684,1.6561918377255684
CLN025,LAST,40.0,3,3,1.0,46.366,1.6561918377255684,1.6561918377255684
CLN025,LAST,60.0,2,3,0.6666666666666666,63.43,1.6561918377255684,1.4269144660534623
CLN025,LAST,80.0,2,3,0.6666666666666666,63.43,1.6561918377255684,1.4269144660534623
CLN025,Least-counts,20.0,3,3,1.0,68.622,0.41539664985299274,0.41539664985299274
CLN025,Least-counts,40.0,3,3,1.0,68.622,0.41539664985299274,0.41539664985299274
CLN025,Least-counts,60.0,1,3,0.3333333333333333,80.266,0.41539664985299274,0.22118522914250263
CLN025,Least-counts,80.0,1,3,0.3333333333333333,80.266,0.41539664985299274,0.22118522914250263
CLN025,kNN-AS,20.0,2,3,0.6666666666666666,63.39,0.14026380384646508,0.33042915329215333
CLN025,kNN-AS,40.0,1,3,0.3333333333333333,56.648,0.14026380384646508,0.5205945027378416
CLN025,kNN-AS,60.0,0,3,0.0,,0.14026380384646508,
CLN025,kNN-AS,80.0,0,3,0.0,,0.14026380384646508,
CLN025,MOAS,20.0,3,3,1.0,36.062,5.249103120869636,5.249103120869636
CLN025,MOAS,40.0,3,3,1.0,36.062,5.249103120869636,5.249103120869636
CLN025,MOAS,60.0,3,3,1.0,40.12,5.249103120869636,5.249103120869636
CLN025,MOAS,80.0,3,3,1.0,40.12,5.249103120869636,5.249103120869636
CLN025,TAPS,20.0,3,3,1.0,69.796,0.23736951420171015,0.23736951420171015
CLN025,TAPS,40.0,1,3,0.3333333333333333,80.18,0.23736951420171015,0.6743452108003128
CLN025,TAPS,60.0,1,3,0.3333333333333333,80.366,0.23736951420171015,0.6743452108003128
CLN025,TAPS,80.0,1,3,0.3333333333333333,80.466,0.23736951420171015,0.6743452108003128
AdK,Random,100.0,1,3,0.3333333333333333,194.978,0.0,0.14007883506531582
AdK,Random,200.0,0,3,0.0,,0.0,
AdK,Random,300.0,0,3,0.0,,0.0,
AdK,Random,500.0,0,3,0.0,,0.0,
AdK,LAST,100.0,0,3,0.0,,0.0,
AdK,LAST,200.0,0,3,0.0,,0.0,
AdK,LAST,300.0,0,3,0.0,,0.0,
AdK,LAST,500.0,0,3,0.0,,0.0,
AdK,Least-counts,100.0,2,3,0.6666666666666666,191.312,0.4843035692955881,1.0076989065163806
AdK,Least-counts,200.0,2,3,0.6666666666666666,191.435,0.4843035692955881,1.0076989065163806
AdK,Least-counts,300.0,2,3,0.6666666666666666,191.643,0.4843035692955881,1.0076989065163806
AdK,Least-counts,500.0,1,3,0.3333333333333333,190.768,0.4843035692955881,1.531094243737173
AdK,kNN-AS,100.0,1,3,0.3333333333333333,66.318,0.0,7.311246484455593
AdK,kNN-AS,200.0,1,3,0.3333333333333333,96.086,0.0,7.311246484455593
AdK,kNN-AS,300.0,1,3,0.3333333333333333,136.418,0.0,7.311246484455593
AdK,kNN-AS,500.0,1,3,0.3333333333333333,136.652,0.0,7.311246484455593
AdK,MOAS,100.0,3,3,1.0,104.644,14.846184752038743,14.846184752038743
AdK,MOAS,200.0,3,3,1.0,105.67,14.846184752038743,14.846184752038743
AdK,MOAS,300.0,3,3,1.0,106.096,14.846184752038743,14.846184752038743
AdK,MOAS,500.0,2,3,0.6666666666666666,121.782,14.846184752038743,21.33758999250741
MBP,Random,100.0,1,3,0.3333333333333333,653.39,0.0,0.009504684596141906
MBP,Random,200.0,0,3,0.0,,0.0,
MBP,Random,300.0,0,3,0.0,,0.0,
MBP,Random,500.0,0,3,0.0,,0.0,
MBP,LAST,100.0,2,3,0.6666666666666666,597.22,0.0186049145286182,13.014946622095763
MBP,LAST,200.0,1,3,0.3333333333333333,320.416,0.0186049145286182,26.011288329662907
MBP,LAST,300.0,1,3,0.3333333333333333,356.42,0.0186049145286182,26.011288329662907
MBP,LAST,500.0,1,3,0.3333333333333333,479.378,0.0186049145286182,26.011288329662907
MBP,Least-counts,100.0,1,3,0.3333333333333333,414.008,0.03377196441607869,0.5963684015749464
MBP,Least-counts,200.0,1,3,0.3333333333333333,414.008,0.03377196441607869,0.5963684015749464
MBP,Least-counts,300.0,1,3,0.3333333333333333,657.764,0.03377196441607869,0.5963684015749464
MBP,Least-counts,500.0,1,3,0.3333333333333333,657.764,0.03377196441607869,0.5963684015749464
MBP,kNN-AS,100.0,2,3,0.6666666666666666,670.421,0.1423680416102958,0.45137140465082415
MBP,kNN-AS,200.0,2,3,0.6666666666666666,704.713,0.1423680416102958,0.45137140465082415
MBP,kNN-AS,300.0,2,3,0.6666666666666666,734.7529999999999,0.1423680416102958,0.45137140465082415
MBP,kNN-AS,500.0,1,3,0.3333333333333333,699.862,0.1423680416102958,0.7603747676913525
MBP,MOAS,100.0,3,3,1.0,434.078,37.14531853838174,37.14531853838174
MBP,MOAS,200.0,3,3,1.0,442.832,37.14531853838174,37.14531853838174
MBP,MOAS,300.0,3,3,1.0,442.832,37.14531853838174,37.14531853838174
MBP,MOAS,500.0,3,3,1.0,442.896,37.14531853838174,37.14531853838174
