round,nov,bnd,tgt,mix
1,0.9768888888888889,0.931111111111111,0.7493333333333334,0.8857777777777778
2,0.9813650128115537,0.9803167947822035,0.944095038434661,0.9685922820094727
3,0.9845865165527409,0.96702854845195,0.9666934727248359,0.9727695125765089
4,0.9907329005550851,0.990544736099351,0.9090224856524604,0.9634333741022987
5,0.9906863810973398,0.9841269841269842,0.9311444516923967,0.968652605638907
6,0.979457707043914,0.9824049513704685,0.9442676097848511,0.9687100893997446
7,0.9956539015546615,0.9966721303332836,0.9712412457159888,0.9878557592013113
8,0.9939702158705637,0.9914381357023304,0.9416763229045965,0.9756948914924969
9,0.9891571272054102,0.9900449582530508,0.9128792171974762,0.9640271008853123
10,0.9812734082397002,0.9123730472045078,0.9332759726018153,0.9423074760153413
11,0.9965554031397653,0.9952141441853376,0.859457399786618,0.9504089823705737
12,0.9954549245267285,0.9953715286464848,0.8286075667862008,0.9398113399864713
13,0.9567333486625277,0.8663038757313303,0.8131498939730717,0.8787290394556431
14,0.9936420147013637,0.9184097946063484,0.6890968824599968,0.8670495639225696
15,0.9937770741253821,0.9675550278162587,0.6717351628295622,0.8776890882570676
