system,method,rep,tag,n_sojourns,median_rt,mean_rt,max_rt,occupancy
CLN025,Random,0,moas_random,2,2.0,2.0,2.0,5.394761686402503e-05
CLN025,Random,1,moas_s1_random,0,,,0.0,0.0
CLN025,Random,2,moas_s2_random,2,3.0,3.0,4.0,8.092142529603754e-05
CLN025,LAST,0,discover_last,191,4.0,9.612565445026178,152.0,0.02476195614058749
CLN025,LAST,1,discover_s1_last,167,4.0,7.3532934131736525,46.0,0.016561918377255683
CLN025,LAST,2,discover_s2_last,23,4.0,12.173913043478262,186.0,0.003776333180481752
CLN025,Least-counts,0,discover_lc,13,4.0,12.615384615384615,94.0,0.0022118522914250263
CLN025,Least-counts,1,discover_s1_lc,127,4.0,4.818897637795276,42.0,0.00825398538019583
CLN025,Least-counts,2,discover_s2_lc,65,2.0,4.7384615384615385,46.0,0.004153966498529928
CLN025,kNN-AS,0,discover_knn,1,2.0,2.0,2.0,2.6973808432012517e-05
CLN025,kNN-AS,1,discover_s1_knn,24,2.0,4.333333333333333,20.0,0.0014026380384646508
CLN025,kNN-AS,2,discover_s2_knn,65,4.0,5.938461538461539,52.0,0.0052059450273784155
CLN025,MOAS,0,moas_static,170,4.0,17.647058823529413,342.0,0.04046071264801877
CLN025,MOAS,1,moas_s1_static,312,4.0,16.141025641025642,452.0,0.06792004963180752
CLN025,MOAS,2,moas_s2_static,266,4.0,14.631578947368421,188.0,0.05249103120869636
CLN025,TAPS,0,discover_taps,25,2.0,7.04,34.0,0.0023736951420171015
CLN025,TAPS,1,discover_s1_taps,42,4.0,11.904761904761905,166.0,0.006743452108003129
CLN025,TAPS,2,discover_s2_taps,13,2.0,5.076923076923077,24.0,0.0008901356782564131
AdK,Random,0,adk_random,37,20.0,34.86486486486486,160.0,0.0014007883506531582
AdK,Random,1,adk_s1_random,0,,,0.0,0.0
AdK,Random,2,adk_s2_random,0,,,0.0,0.0
AdK,LAST,0,adk_last,0,,,0.0,0.0
AdK,LAST,1,adk_s1_last,0,,,0.0,0.0
AdK,LAST,2,adk_s2_last,24,10.0,12.916666666666666,30.0,0.0003366235571337047
AdK,Least-counts,0,adk_lc,145,20.0,30.75862068965517,330.0,0.004843035692955881
AdK,Least-counts,1,adk_s1_lc,429,10.0,32.86713286713287,1360.0,0.01531094243737173
AdK,Least-counts,2,adk_s2_lc,14,10.0,17.857142857142858,40.0,0.0002714706105916973
AdK,kNN-AS,0,adk_knn,0,,,0.0,0.0
AdK,kNN-AS,1,adk_s1_knn,681,20.0,98.86930983847283,9820.0,0.07311246484455593
AdK,kNN-AS,2,adk_s2_knn,0,,,0.0,0.0
AdK,MOAS,0,adk_static,2851,20.0,47.9551034724658,1820.0,0.14846184752038744
AdK,MOAS,1,adk_s1_static,297,10.0,22.28956228956229,420.0,0.007188541768468146
AdK,MOAS,2,adk_s2_static,917,20.0,279.4765539803708,22800.0,0.2782899523297608
MBP,Random,0,mbp_random,0,,,0.0,0.0
MBP,Random,1,mbp_s1_random,0,,,0.0,0.0
MBP,Random,2,mbp_s2_random,24,10.0,19.583333333333332,120.0,9.504684596141906e-05
MBP,LAST,0,mbp_last,8839,20.0,145.51872383753818,20020.0,0.26011288329662907
MBP,LAST,1,mbp_s1_last,0,,,0.0,0.0
MBP,LAST,2,mbp_s2_last,47,10.0,19.574468085106382,120.0,0.00018604914528618202
MBP,Least-counts,0,mbp_lc,106,10.0,15.754716981132075,70.0,0.0003377196441607869
MBP,Least-counts,1,mbp_s1_lc,671,20.0,43.949329359165425,1520.0,0.005963684015749465
MBP,Least-counts,2,mbp_s2_lc,26,15.0,20.76923076923077,70.0,0.00010920275918971553
MBP,kNN-AS,0,mbp_knn,235,10.0,29.95744680851064,330.0,0.001423680416102958
MBP,kNN-AS,1,mbp_s1_knn,1611,10.0,23.33954065797641,500.0,0.007603747676913525
MBP,kNN-AS,2,mbp_s2_knn,8,10.0,13.75,40.0,2.2245006501608718e-05
MBP,MOAS,0,mbp_static,13359,20.0,105.14260049404895,12690.0,0.28404851029236006
MBP,MOAS,1,mbp_s1_static,8886,20.0,206.70830519918974,40810.0,0.3714531853838174
MBP,MOAS,2,mbp_s2_static,13216,20.0,157.58852905569006,36470.0,0.42117684173486786
