system,method,n_campaigns,n_sojourns,median_n_sojourns,median_rt,mean_rt,median_max_rt,longest_rt,p_sojourn_ge_tau,median_occupancy
CLN025,Random,3,4,2.0,2.5,2.5,2.0,4.0,0.0,0.005394761686402503
CLN025,LAST,3,381,167.0,4.0,9.612565445026178,152.0,186.0,0.036187583858006724,1.6561918377255684
CLN025,Least-counts,3,205,65.0,4.0,4.818897637795276,46.0,94.0,0.03339390268524127,0.41539664985299274
CLN025,kNN-AS,3,90,24.0,2.0,4.333333333333333,20.0,52.0,0.010256410256410256,0.14026380384646508
CLN025,MOAS,3,748,266.0,4.0,16.141025641025642,342.0,452.0,0.09745196324143694,5.249103120869636
CLN025,TAPS,3,80,25.0,2.0,7.04,34.0,166.0,0.023809523809523808,0.23736951420171015
AdK,Random,3,37,0.0,20.0,34.86486486486486,0.0,160.0,0.0,0.0
AdK,LAST,3,24,0.0,10.0,12.916666666666666,0.0,30.0,0.0,0.0
AdK,Least-counts,3,588,145.0,10.0,30.75862068965517,330.0,1360.0,0.00851485679071886,0.4843035692955881
AdK,kNN-AS,3,681,0.0,20.0,98.86930983847283,0.0,9820.0,0.021536955457660305,0.0
AdK,MOAS,3,4065,917.0,20.0,47.9551034724658,1820.0,22800.0,0.05982526330995642,14.846184752038743
MBP,Random,3,24,0.0,10.0,19.583333333333332,0.0,120.0,0.0,0.0
MBP,LAST,3,8886,47.0,15.0,82.54659596132228,120.0,20020.0,0.039672662820077684,0.0186049145286182
MBP,Least-counts,3,803,106.0,15.0,20.76923076923077,70.0,1520.0,0.011922503725782414,0.03377196441607869
MBP,kNN-AS,3,1854,235.0,10.0,23.33954065797641,330.0,500.0,0.006945159827603665,0.1423680416102958
MBP,MOAS,3,35461,13216.0,20.0,157.58852905569006,36470.0,40810.0,0.08652458832842465,37.14531853838174
