system,method,rep,tag,x,occupancy,xlabel
CLN025,Random,0,moas_random,0.15,0.0,RMSD cutoff (nm)
CLN025,Random,0,moas_random,0.2,0.0,RMSD cutoff (nm)
CLN025,Random,0,moas_random,0.25,5.394761686402503e-05,RMSD cutoff (nm)
CLN025,Random,0,moas_random,0.3,0.003452647479297602,RMSD cutoff (nm)
CLN025,Random,0,moas_random,0.4,0.050791681277479565,RMSD cutoff (nm)
CLN025,Random,1,moas_s1_random,0.15,0.0,RMSD cutoff (nm)
CLN025,Random,1,moas_s1_random,0.2,0.0,RMSD cutoff (nm)
CLN025,Random,1,moas_s1_random,0.25,0.0,RMSD cutoff (nm)
CLN025,Random,1,moas_s1_random,0.3,0.0001618428505920751,RMSD cutoff (nm)
CLN025,Random,1,moas_s1_random,0.4,0.021309308661289886,RMSD cutoff (nm)
CLN025,Random,2,moas_s2_random,0.15,0.0,RMSD cutoff (nm)
CLN025,Random,2,moas_s2_random,0.2,0.0,RMSD cutoff (nm)
CLN025,Random,2,moas_s2_random,0.25,8.092142529603754e-05,RMSD cutoff (nm)
CLN025,Random,2,moas_s2_random,0.3,0.006662530682707091,RMSD cutoff (nm)
CLN025,Random,2,moas_s2_random,0.4,0.07603916596984328,RMSD cutoff (nm)
CLN025,LAST,0,discover_last,0.15,0.0,RMSD cutoff (nm)
CLN025,LAST,0,discover_last,0.2,0.0012947428047366007,RMSD cutoff (nm)
CLN025,LAST,0,discover_last,0.25,0.02476195614058749,RMSD cutoff (nm)
CLN025,LAST,0,discover_last,0.3,0.10964853127613088,RMSD cutoff (nm)
CLN025,LAST,0,discover_last,0.4,0.1952903730477706,RMSD cutoff (nm)
CLN025,LAST,1,discover_s1_last,0.15,0.0,RMSD cutoff (nm)
CLN025,LAST,1,discover_s1_last,0.2,5.394761686402503e-05,RMSD cutoff (nm)
CLN025,LAST,1,discover_s1_last,0.25,0.016561918377255683,RMSD cutoff (nm)
CLN025,LAST,1,discover_s1_last,0.3,0.06028646184554797,RMSD cutoff (nm)
CLN025,LAST,1,discover_s1_last,0.4,0.15698756507431283,RMSD cutoff (nm)
CLN025,LAST,2,discover_s2_last,0.15,0.0,RMSD cutoff (nm)
CLN025,LAST,2,discover_s2_last,0.2,0.0,RMSD cutoff (nm)
CLN025,LAST,2,discover_s2_last,0.25,0.003776333180481752,RMSD cutoff (nm)
CLN025,LAST,2,discover_s2_last,0.3,0.019016534944568824,RMSD cutoff (nm)
CLN025,LAST,2,discover_s2_last,0.4,0.16480996951959648,RMSD cutoff (nm)
CLN025,Least-counts,0,discover_lc,0.15,0.0,RMSD cutoff (nm)
CLN025,Least-counts,0,discover_lc,0.2,0.0,RMSD cutoff (nm)
CLN025,Least-counts,0,discover_lc,0.25,0.0022118522914250263,RMSD cutoff (nm)
CLN025,Least-counts,0,discover_lc,0.3,0.005286866452674453,RMSD cutoff (nm)
CLN025,Least-counts,0,discover_lc,0.4,0.08623526555714402,RMSD cutoff (nm)
CLN025,Least-counts,1,discover_s1_lc,0.15,0.0,RMSD cutoff (nm)
CLN025,Least-counts,1,discover_s1_lc,0.2,0.0,RMSD cutoff (nm)
CLN025,Least-counts,1,discover_s1_lc,0.25,0.00825398538019583,RMSD cutoff (nm)
CLN025,Least-counts,1,discover_s1_lc,0.3,0.05510749062660157,RMSD cutoff (nm)
CLN025,Least-counts,1,discover_s1_lc,0.4,0.12356701642704933,RMSD cutoff (nm)
CLN025,Least-counts,2,discover_s2_lc,0.15,0.0,RMSD cutoff (nm)
CLN025,Least-counts,2,discover_s2_lc,0.2,0.0003506595096161627,RMSD cutoff (nm)
CLN025,Least-counts,2,discover_s2_lc,0.25,0.004153966498529928,RMSD cutoff (nm)
CLN025,Least-counts,2,discover_s2_lc,0.3,0.04167453402745934,RMSD cutoff (nm)
CLN025,Least-counts,2,discover_s2_lc,0.4,0.153049389043239,RMSD cutoff (nm)
CLN025,kNN-AS,0,discover_knn,0.15,0.0,RMSD cutoff (nm)
CLN025,kNN-AS,0,discover_knn,0.2,0.0,RMSD cutoff (nm)
CLN025,kNN-AS,0,discover_knn,0.25,2.6973808432012517e-05,RMSD cutoff (nm)
CLN025,kNN-AS,0,discover_knn,0.3,0.008092142529603755,RMSD cutoff (nm)
CLN025,kNN-AS,0,discover_knn,0.4,0.09915571979607801,RMSD cutoff (nm)
CLN025,kNN-AS,1,discover_s1_knn,0.15,0.0,RMSD cutoff (nm)
CLN025,kNN-AS,1,discover_s1_knn,0.2,0.0,RMSD cutoff (nm)
CLN025,kNN-AS,1,discover_s1_knn,0.25,0.0014026380384646508,RMSD cutoff (nm)
CLN025,kNN-AS,1,discover_s1_knn,0.3,0.02039219917460146,RMSD cutoff (nm)
CLN025,kNN-AS,1,discover_s1_knn,0.4,0.13306179699511775,RMSD cutoff (nm)
CLN025,kNN-AS,2,discover_s2_knn,0.15,0.0,RMSD cutoff (nm)
CLN025,kNN-AS,2,discover_s2_knn,0.2,0.0,RMSD cutoff (nm)
CLN025,kNN-AS,2,discover_s2_knn,0.25,0.0052059450273784155,RMSD cutoff (nm)
CLN025,kNN-AS,2,discover_s2_knn,0.3,0.028673158363229305,RMSD cutoff (nm)
CLN025,kNN-AS,2,discover_s2_knn,0.4,0.13411377552396622,RMSD cutoff (nm)
CLN025,MOAS,0,moas_static,0.15,0.0,RMSD cutoff (nm)
CLN025,MOAS,0,moas_static,0.2,0.007903325870579667,RMSD cutoff (nm)
CLN025,MOAS,0,moas_static,0.25,0.04046071264801877,RMSD cutoff (nm)
CLN025,MOAS,0,moas_static,0.3,0.07223585898092952,RMSD cutoff (nm)
CLN025,MOAS,0,moas_static,0.4,0.25034391605750816,RMSD cutoff (nm)
CLN025,MOAS,1,moas_s1_static,0.15,0.0,RMSD cutoff (nm)
CLN025,MOAS,1,moas_s1_static,0.2,0.008011221104307718,RMSD cutoff (nm)
