system,method,x,median_occupancy
CLN025,Random,0.15,0.0
CLN025,Random,0.2,0.0
CLN025,Random,0.25,0.005394761686402503
CLN025,Random,0.3,0.3452647479297602
CLN025,Random,0.4,5.079168127747956
CLN025,LAST,0.15,0.0
CLN025,LAST,0.2,0.005394761686402503
CLN025,LAST,0.25,1.6561918377255684
CLN025,LAST,0.3,6.028646184554797
CLN025,LAST,0.4,16.480996951959646
CLN025,Least-counts,0.15,0.0
CLN025,Least-counts,0.2,0.0
CLN025,Least-counts,0.25,0.41539664985299274
CLN025,Least-counts,0.3,4.167453402745934
CLN025,Least-counts,0.4,12.356701642704932
CLN025,kNN-AS,0.15,0.0
CLN025,kNN-AS,0.2,0.0
CLN025,kNN-AS,0.25,0.14026380384646508
CLN025,kNN-AS,0.3,2.039219917460146
CLN025,kNN-AS,0.4,13.306179699511775
CLN025,MOAS,0.15,0.0
CLN025,MOAS,0.2,0.7903325870579667
CLN025,MOAS,0.25,5.249103120869636
CLN025,MOAS,0.3,12.35130688101853
CLN025,MOAS,0.4,31.918107517600408
CLN025,TAPS,0.15,0.0
CLN025,TAPS,0.2,0.0
CLN025,TAPS,0.25,0.23736951420171015
CLN025,TAPS,0.3,3.034553448601408
CLN025,TAPS,0.4,10.719391470881774
AdK,Random,-8.0,0.0
AdK,Random,-4.0,0.0
AdK,Random,0.0,0.0
AdK,Random,4.0,1.6494554299551532
AdK,Random,8.0,5.446786330911816
AdK,LAST,-8.0,0.0
AdK,LAST,-4.0,0.0
AdK,LAST,0.0,0.0
AdK,LAST,4.0,0.7590318272143858
AdK,LAST,8.0,4.801772160145942
AdK,Least-counts,-8.0,0.0
AdK,Least-counts,-4.0,0.0
AdK,Least-counts,0.0,0.4843035692955881
AdK,Least-counts,4.0,1.5658424818929102
AdK,Least-counts,8.0,3.95369797265748
AdK,kNN-AS,-8.0,0.0
AdK,kNN-AS,-4.0,0.0
AdK,kNN-AS,0.0,0.0
AdK,kNN-AS,4.0,0.7177682944044478
AdK,kNN-AS,8.0,4.560706257940515
AdK,MOAS,-8.0,0.0
AdK,MOAS,-4.0,0.005429412211833947
AdK,MOAS,0.0,14.846184752038743
AdK,MOAS,4.0,40.21457037061168
AdK,MOAS,8.0,53.17457732025931
MBP,Random,-2.0,0.0
MBP,Random,-1.0,0.0
MBP,Random,0.0,0.0
MBP,Random,1.0,0.00525791062765297
MBP,Random,2.0,0.09160898132026135
MBP,LAST,-2.0,0.0
MBP,LAST,-1.0,0.0006066819954984196
MBP,LAST,0.0,0.0186049145286182
MBP,LAST,1.0,0.2258879296572449
MBP,LAST,2.0,1.664937622979496
MBP,Least-counts,-2.0,0.0
MBP,Least-counts,-1.0,0.0012133639909968391
MBP,Least-counts,0.0,0.03377196441607869
MBP,Least-counts,1.0,0.5951550375839496
MBP,Least-counts,2.0,3.460918556986651
MBP,kNN-AS,-2.0,0.0
MBP,kNN-AS,-1.0,0.020222733183280654
MBP,kNN-AS,0.0,0.1423680416102958
MBP,kNN-AS,1.0,0.5441937499620824
MBP,kNN-AS,2.0,1.816810349185934
MBP,MOAS,-2.0,17.085985039221992
MBP,MOAS,-1.0,25.032710270923957
MBP,MOAS,0.0,37.14531853838174
MBP,MOAS,1.0,44.04733737383542
MBP,MOAS,2.0,48.97278626795526
